Country,sb_2012,sb_2017,re_2012,re_2017,id_2012,id_2017,Group
DNK,0.12,0.15,0.094238635,0.107160656,0.989271463,1.248763042,Group 1
FIN,0.02,0.04,0.197569145,0.229922255,0.056351166,0.024739986,Group 1
SWE,0.09,0.04,0.180216027,0.207362358,0.103206757,0.252286602,Group 1
AUT,0.04,0.04,0.149086907,0.145714171,0.23557128,0.210939567,Group 2
EST,0.07,0.04,0.164690266,0.153992234,0.038195019,0.066380481,Group 2
LTU,0.02,0.02,0.12618803,0.107716514,0.201553396,0.24493295,Group 2
LVA,0,0.03,0.285146936,0.254068224,0.081211047,0.177159796,Group 2
BEL,0.12,0,0.043635234,0.048804918,0.416506513,0.565780515,Group 3
CYP,0,0.11,0.027936907,0.053812786,0.511180807,0.640465571,Group 3
CZE,0.05,0.09,0.100833616,0.110853422,0.079857861,0.149424165,Group 3
DEU,0.11,0.24,0.072840893,0.066459881,0.131732331,0.137705445,Group 3
ESP,0.07,0.05,0.07197588,0.065255495,0.322488409,0.163716527,Group 3
FRA,0.03,0.02,0.073126919,0.079163783,0.04888514,0.147515879,Group 3
GBR,0.17,0.33,0.02086396,0.031446051,0.564224537,0.760981259,Group 3
GRC,0.01,0.02,0.077120366,0.066713042,0.151235959,0.131441025,Group 3
HRV,0,0.04,0.177664184,0.156523383,0.005183576,0.032310161,Group 3
HUN,0.03,0.12,0.128498957,0.104077547,0.035188868,0.129633759,Group 3
IRL,0.11,0.35,0.026385708,0.04244149,0.201294688,0.340898151,Group 3
ITA,0.1,0.19,0.068531965,0.072075942,0.326547875,0.308510053,Group 3
LUX,0,0.13,0.028031192,0.048441191,0.487742718,0.803570233,Group 3
NLD,0.11,0.1,0.017534133,0.019753212,0.806651552,0.588741184,Group 3
POL,0.09,0.05,0.084979129,0.085418852,0.033678905,0.118498302,Group 3
PRT,0.04,0.03,0.131171997,0.131265761,0.033941703,0.051858678,Group 3
ROU,0,0.02,0.160387908,0.161991684,0.04489062,0.071467891,Group 3
SVN,0,0.03,0.13174998,0.125075244,0.077712755,0.045384574,Group 3